date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-12-29,4769.830078125,3126060000,12.449999809265137,70.16488344492994,1.0,-0.4611590454199901
2024-01-02,4742.830078125,3743050000,13.199999809265137,64.07808648647672,1.0,-0.5088187883262005
2024-01-03,4704.81005859375,3950760000,14.039999961853027,56.628421882246705,1.0,-0.5744727278595274
2024-01-04,4688.68017578125,3715480000,14.130000114440918,53.77222117431155,1.0,-0.55739726969134
2024-01-05,4697.240234375,3844370000,13.350000381469727,55.06744720926571,1.0,-0.5449916159928465
2024-01-08,4763.5400390625,3742320000,13.079999923706055,63.57909217864366,1.0,-0.5381691316640091
2024-01-09,4756.5,3529960000,12.760000228881836,62.23103918966384,1.0,-0.5308191326292176
2024-01-10,4783.4501953125,3498680000,12.6899995803833,65.26706626561467,1.0,-0.5259475379467267
2024-01-11,4780.240234375,3759890000,12.4399995803833,64.6009773492753,1.0,-0.5140400996184457
2024-01-12,4783.830078125,3486340000,12.699999809265137,65.03079510785892,1.0,-0.5093599378975538
2024-01-16,4765.97998046875,4260550000,13.84000015258789,61.0606683688491,1.0,-0.521818702245514
2024-01-17,4739.2099609375,3928600000,14.789999961853027,55.58042385024743,1.0,-0.5404102593772705
2024-01-18,4780.93994140625,4019000000,14.130000114440918,61.39672296498256,1.0,-0.5515391533947173
2024-01-19,4839.81005859375,4287200000,13.300000190734863,67.80193483656222,1.0,-0.5977196859523434
2024-01-22,4850.43017578125,4297610000,13.1899995803833,68.80742908232567,1.0,-0.6005236092503392
2024-01-23,4864.60009765625,3912800000,12.550000190734863,70.1469849901572,1.0,-0.6055136842608262
2024-01-24,4868.5498046875,4330030000,13.140000343322754,70.52692690295379,1.0,-0.6033642948541993
2024-01-25,4894.16015625,4020430000,13.449999809265137,72.93246913920566,1.0,-0.5975015580055758
2024-01-26,4890.97021484375,3353400000,13.260000228881836,72.14264307044832,1.0,-0.5866011618499687
2024-01-29,4927.93017578125,3525160000,13.600000381469727,75.4588319412255,1.0,-0.6054093418447392
2024-01-30,4924.97021484375,3836130000,13.3100004196167,74.69197832345793,1.0,-0.5991779387547789
2024-01-31,4845.64990234375,4696120000,14.350000381469727,57.75381880356626,1.0,-0.6550347588220337
2024-02-01,4906.18994140625,4386090000,13.880000114440918,64.39114586454608,1.0,-0.6761901734484691
2024-02-02,4958.60986328125,3974350000,13.850000381469727,68.94131171752808,1.0,-0.6644725510890725
2024-02-05,4942.81005859375,4023640000,13.670000076293945,66.19570048499102,1.0,-0.5884094590468102
2024-02-06,4954.22998046875,4440880000,13.0600004196167,67.2121107851681,1.0,-0.5965136390354432
2024-02-07,4995.06005859375,4895590000,12.829999923706055,70.61413469455957,1.0,-0.610510794064139
2024-02-08,4997.91015625,4341860000,12.789999961853027,70.84156707437177,1.0,-0.6103402558756379
2024-02-09,5026.60986328125,3912990000,12.930000305175781,73.09933468849061,1.0,-0.6141153393027362
2024-02-12,5021.83984375,3805740000,13.930000305175781,72.10007548719531,1.0,-0.6035272514218204
2024-02-13,4953.169921875,4302190000,15.850000381469727,59.4918663331634,1.0,-0.6834547171775338
2024-02-14,5000.6201171875,3845600000,14.380000114440918,64.15618341258141,1.0,-0.6870332444423901
2024-02-15,5029.72998046875,4137970000,14.010000228881836,66.69017423350247,1.0,-0.6721680783413935
2024-02-16,5005.56982421875,3833270000,14.239999771118164,62.7266017277062,1.0,-0.6746746737564977
2024-02-20,4975.509765625,4034880000,15.420000076293945,58.09986442688576,1.0,-0.7086087134004759
2024-02-21,4981.7998046875,3788390000,15.34000015258789,58.78492252637724,1.0,-0.7173864534046298
2024-02-22,5087.02978515625,4051710000,14.539999961853027,68.16301883377463,1.0,-0.7334590418464255
2024-02-23,5088.7998046875,3672790000,13.75,68.29370431021272,1.0,-0.7077448854155823
2024-02-26,5069.52978515625,3683930000,13.739999771118164,65.15788380629027,1.0,-0.7076851263086353
